filepath,label
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start0_end256_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start128_end384_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start256_end512_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start384_end640_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start512_end768_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start640_end896_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start768_end1024_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start896_end1152_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start1024_end1280_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start1152_end1408_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start1280_end1536_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start1408_end1664_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start1536_end1792_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start1664_end1920_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start1792_end2048_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start1920_end2176_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start2048_end2304_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start2176_end2432_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start2304_end2560_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start2432_end2688_label_Calm.npy,Calm
C:\Users\priya\Desktop\Smart IoT Indor Sensing Project\Feature Extraction and ML\Feature\csi_2025-09-23_14-34-21_start2560_end2816_label_Calm.npy,Calm
